state.x;czname;num_grants;cohort;age;male;female;expenditure_school;expenditures;test_score;income_pc;income_growth;universities_pc;graduation_rate;teacher_student_ratio;migration_inflow;migration_born;social_capital;china_imports;racial_segregation;gini;tax_rate;violence;children_onlyparent;divorce_share;manufacture_employment
Missouri;Poplar Bluff;8,42946E-05;1955,053937;48,89644013;;;4,8172469;1174,779;-4,994635;28334,39;-0,0089556;0,0135914;-0,1139587;16,247101;0,011919648;0,0106023;-0,44295489;1,070871;0,1122361;0,4555;0,0108884;0,0020523;0,2143018;0,1194255;0,2036735
Missouri;Rolla;0,000489652;1953,548156;50,29610656;;;5,2639704;1535,674;2,588233;26402,47;-0,0092163;0,0179358;0,2892415;15,562918;0,029889964;0,0329268;-0,63213321;4,170765;0,1547473;0,36473;0,0100368;0,0011012;0,176657;0,0889707;0,1291104
Missouri;Sedalia;0,000116366;1952,977912;50,85341365;;;4,6647426;2237,426;-2,014851;31288,85;-0,0060527;0,0113338;-0,1147841;15,016438;0,02096745;0,0171547;0,70016156;2,75229;0,1035598;0,36972;0,0143806;0,0008274;0,2030629;0,1164854;0,2023425
Missouri;Springfield;0,000174394;1952,801199;50,995005;0,000332449;2,72504E-05;4,7697581;1638,763;3,364114;31925,95;-0,003255;0,0226826;0,0268049;16,536257;0,019815545;0,014385;0,31122599;4,333282;0,0670514;0,46317;0,0143926;0,001241;0,189716;0,1097137;0,1441387
Missouri;St. Joseph;0,000135596;1952,801199;50,995005;;;5,0927732;1385,669;-0,5670358;32193,7;-0,0049826;0,0189514;-0,0864307;14,93189;0,014099811;0,0085648;0,69811613;1,798344;0,0875174;0,36637;0,0183508;0,0007265;0,2036387;0,1159928;0,1583326
Missouri;St. Louis;0,000554058;1952,801199;50,995005;0,001037598;0,000110199;6,3564817;1896,448;-5,331714;42679,79;-0,0068062;0,0141898;-0,0225946;17,153667;0,012940266;0,0333005;0,43210744;0,8003791;0,410303;0,47069;0,0222237;0,0026123;0,246685;0,1033248;0,1422233
Missouri;Trenton;0;1958,8125;44,3125;;;5,7092245;1938,846;1,441916;30864,04;-0,0062892;0,0704771;0,1018859;13,533195;0,008950596;0,0117335;1,2014258;0,2328344;0,0295072;0,34245;0,0149815;0,0019029;0,193734;0,0993395;0,1790634
Missouri;West Plains;5,29606E-05;1954,067708;49,82395833;;;4,7056089;1251,89;2,756975;26978,95;-0,0124202;0,0110435;-0,0056351;15,229776;0,010579673;0,0099002;0,12172407;9,311747;0,015978;0,41151;0,0080928;0,0009249;0,1841276;0,1008776;0,2035982
Montana;Billings;0,000139133;1952,801199;50,995005;;;5,2263981;1750,084;6,772346;35376,52;0,0052843;0,0196543;-0,0801078;17,884498;0,02333626;0,0142582;1,1770051;0,1416516;0,0652681;0,41475;0,0205352;0,0011596;0,1971977;0,1166416;0,057414
Montana;Bozeman;0,001093869;1953,109879;50,74092742;;;6,0502461;1735,179;13,86307;31691,63;0,015461;0,01064;0,0821251;16,78774;0,032707347;0,0256026;1,3292541;1,066021;0,020604;0,41355;0,0205492;0,0013513;0,1484303;0,0918719;0,0730171
Montana;Butte-Silver Bow;0,000300811;1955,339891;48,54972678;;;5,3350757;1569,183;6,262607;30172,66;-0,0024511;0,0370144;-0,0484121;18,044901;0,012769974;0,0138504;1,0179789;0,1929088;0,0267995;0,39789;0,0295762;0,0014991;0,2145317;0,1203987;0,0498241
Montana;Colstrip;0;1955,416667;47,08333333;;;7,7730263;6886,406;-3,744608;28920,57;0,0040115;0,082631;0,0922222;13,444441;0,015121468;0,0095772;-0,13433823;0,0258241;0,4951946;0,32526;0,057055;0,0019831;0,1922633;0,0973771;0,0145719
Montana;Glasgow;0;1958,428571;42;;;7,4909977;6900,015;9,237108;31217,48;0,0236293;;;13,595161;0,005050505;0,0108599;1,5642835;0,0821073;0,212774;0,31823;0,0368422;0,0009775;0,1645078;0,074295;0,0144087
Montana;Glendive;0;1959;46,54545455;;;5,7934519;2129,959;11,65619;29214,83;0,0270838;0,0829807;0,0798695;14,507478;0,003319227;0,0101494;1,7509932;0,0181368;0,0123838;0,25994;0,0284241;0,0009958;0,1433566;0,0848596;0,0085366
